Event,Gender,Age,Age at Performance,Time,TIME_SEC,FNAME,LNAME,Country,DOB,RACE_NAME,RACE_LOC,RACE_DATE,COURSE_CERT_SOURCE,COMMENTS
25 km,M,8,8y79d,2:43:06,9786,Nicholas,Trigg ,USA,12/18/2006,,Oklahoma City OK USA,3/7/2015,,
25 km,M,16,16y143d,1:20:44,4844,Fita,Bayissa ,ETH,12/15/1972,,Berlin GER,5/7/1989,,
25 km,M,17,17y244d,1:23:25,5005,Raymond,Khuzwayo ,RSA,6/24/1968,,Durban RSA,2/23/1986,,
25 km,M,18,18y343d,1:19:59,4799,Brad,Hudson ,USA,9/30/1966,Nike/OTC,Eugene OR USA,9/8/1985,,
25 km,M,19,19y313d,1:13:01,4381,Benson,Cherono Kipchumba,KEN,6/30/1984,,Berlin GER,5/9/2004,,
25 km,M,20,20y83d,1:14:15,4455,Allan,Kiprono Kipkorir,KEN,2/15/1990,,Berlin GER,5/9/2010,,
25 km,M,21,21y205d,1:11:47,4307,Abraham,Cheroben ,BRN,10/11/1992,,Berlin GER,5/4/2014,,
25 km,M,22,22y211d,1:12:31,4351,Abraham,Cheroben ,BRN,10/11/1992,,Berlin GER,5/10/2015,,
25 km,M,23,23y43d,1:13:35,4415,Joseph,Riri ,KEN,3/27/1981,,Berlin GER,5/9/2004,,
25 km,M,24,24y109d,1:11:50,4310,Samuel,Kiplimo Kosgei,KEN,1/20/1986,,Berlin GER,5/9/2010,,
25 km,M,25,25y163d,1:13:24,4404,Mathew,Kipchirchir Koech,KEN,11/29/1983,,Berlin GER,5/10/2009,,
25 km,M,26,26y105d,1:11:29,4289,Wilfred,Kirwa Kigen,KEN,1/21/1986,,Berlin GER,5/6/2012,,
25 km,M,27,27y229d,1:11:59,4319,Jacob,Chepleting Kendagor,KEN,9/19/1984,,Berlin GER,5/6/2012,,
25 km,M,28,28y105d,1:11:18,4278,Dennis,Kipruto Kimetto,KEN,1/22/1984,,Berlin GER,5/6/2012,,
25 km,M,29,29y275d,1:12:32,4352,Kenneth,Kiprop Kipkemoi,KEN,8/2/1984,,Berlin GER,5/4/2014,,
25 km,M,30,30y281d,1:14:18,4458,Kenneth,Kiprop Kipkemoi,KEN,8/2/1984,,Berlin GER,5/10/2015,,
25 km,M,31,31y334d,1:14:22,4462,Abel,Kirui ,KEN,6/4/1982,,Berlin GER,5/4/2014,,
25 km,M,32,32y17d,1:13:48,4428,Paul,Kosgei Malakwen,KEN,4/22/1978,,Berlin GER,5/9/2010,,
25 km,M,33,33y229d,1:15:10,4510,Martin,Vrabel ,SVK,9/21/1955,,Berlin GER,5/7/1989,,
25 km,M,34,34y260d,1:15:01,4501,Simon,Karori ,KEN,8/28/1959,River Bank Run 25K,Grand Rapids MI USA,5/14/1994,,
25 km,M,35,35y240d,1:15:43,4543,Gidamis,Shahanga ,TAN,9/4/1957,,Berlin GER,5/2/1993,,
25 km,M,36,36y166d,1:15:45,4545,Jacques,Boxberger ,FRA,4/16/1949,,Divonneles les Bains FRA,9/29/1985,,
25 km,M,37,37y142d,1:16:15,4575,Abdelhadi,El Hachimi,BEL,12/15/1974,,Berlin GER,5/6/2012,,
25 km,M,38,38y128d,1:15:27,4527,Abdihakim,Abdirahman ,USA,1/1/1977,River Bank Run 25K,Grand Rapids MI USA,5/9/2015,,
25 km,M,39,39y205d,1:19:03,4743,Giomar,Pereira daSilva,BRA,8/25/1972,,Aracaju BRA,3/17/2012,,
25 km,M,40,40y184d,1:16:49,4609,Martin,Mondragon Avila,MEX,11/11/1953,River Bank Run 25K,Grand Rapids MI USA,5/14/1994,,
25 km,M,41,41y39d,1:16:53,4613,Mbarak,Hussein ,USA,4/4/1965,River Bank Run 25K,Grand Rapids MI USA,5/13/2006,,
25 km,M,42,42y104d,1:16:58,4618,Artemio,Navarro ,MEX,1/25/1950,River Bank Run 25K,Grand Rapids MI USA,5/9/1992,,
25 km,M,43,43y166d,1:19:08,4748,Andrey,Kuznetzov ,RUS,11/27/1957,River Bank Run 25K,Grand Rapids MI USA,5/12/2001,,
25 km,M,44,44y165d,1:20:20,4820,Andrey,Kuznetzov ,RUS,11/27/1957,River Bank Run 25K,Grand Rapids MI USA,5/11/2002,,
25 km,M,45,45y165d,1:21:47,4907,Fernand,Kolbeck ,FRA,10/11/1944,,Haguenau FRA,3/25/1990,,
25 km,M,46,46y348d,1:22:44,4964,Piet,vanAlphen ,NED,8/16/1930,,Brugge BEL,7/30/1977,,
25 km,M,47,47y229d,1:22:24,4944,Dan,Conway ,USA,1/28/1939,City of Lakes 25k,Minneapolis MN USA,9/14/1986,,
25 km,M,48,48y319d,1:24:43,5083,Piet,vanAlphen ,NED,8/16/1930,,Brugge BEL,7/1/1979,,
25 km,M,49,49y309d,1:22:44,4964,Piet,vanAlphen ,NED,8/16/1930,,Lisse NED,6/21/1980,,
25 km,M,50,50y167d,1:25:27,5127,Erik-Verner,Ostbye ,SWE,1/25/1921,,Karlovy Vary CZE,7/11/1971,,
25 km,M,51,51y334d,1:24:12,5052,Norman,Green ,USA,6/27/1932,,Washington DC USA,5/27/1984,,
25 km,M,52,52y41d,1:25:37,5137,Jim,O'Neill ,USA,4/1/1938,River Bank Run 25K,Grand Rapids MI USA,5/12/1990,,
25 km,M,53,53y40d,1:26:56,5216,Jim,O'Neill ,USA,4/1/1938,River Bank Run 25K,Grand Rapids MI USA,5/11/1991,,
25 km,M,54,,1:32:23,5543,Pete,Orban,USA,,Beacon on the Bay,"Oklahoma City, OK",2/27/2010,OK00012BB,
25 km,M,55,55y221d,1:29:56,5396,Ray,Hatton ,USA,2/5/1932,Nike/OTC,Eugene OR USA,9/13/1987,,
